Customer Name,Review Head,Review,Date,Airport Names,Ratings(10)
C Keane,drink choices have been limited,only a few usb ports are working food offerings were better than before drink choices have been limited to minimalist no more zacapa rum or woodford reserve not even jack daniels if u don’t like bulleit bourbon that includes onboard packed lounge with sun boiling anyone sitting in its way as there’s no window shading staff were working hard i felt given the amount of people bottled water removed shame as it was handy only tiny 250ml beer cans available no tiger or amstel choices…,17th January 2023,London Heathrow Airport,4
Jeremy Archdale,lack of breakfast on offer,having paid ba over £7000 for our trip to barbados we rather thought we might be able to get some breakfast before boarding we tried a very overcrowded lounge soon after security and managed a small plate of baked beans toast and bacon were not on offer a member of the lounge staff tipped us off that the business lounge in c satellite would be more comfortable so we went there much less crowded but the same lack of breakfast on offer,13th December 2022,London Heathrow Airport,1
C King,the food was surprisingly good,the food was surprisingly good back to self service breakfast and lunch plenty of drinks selection but sadly no more gentleman jack or woodford reserve also no zacapa rum which is  disappointing bulleit bourbon is simply awful for a saturday afternoon there was plenty of seats staff all very polite and friendly,10th December 2022,London Heathrow Airport,7
S Keale,experience could not have been better!,others have reviewed this quite harshly our experience could not have been better in fact this is one of the best lounges we have visited and we have been to many other business lounges its nearly up there with istanbul and singapore very well laid out with plenty of space and places to siteat the choice and variety of food was excellent we arrived just at the breakfast lunch changeover so we had a pretty great choice this lounge is in total contrast to the swiss business lounge at zurich which we visited the day before that was just pathetic  a very good lounge,19th November 2022,London Heathrow Airport,10
C Mayle,way too crowded,way too crowded with many people walking around looking for a place to sit no champagne at the champagne bar although a staff member did bring a tray of filled glasses after mentioning that passengers were walking off with the bottles ba used to have a display in the terminal showing how crowded each of the t5 lounges were but that wasnt visible this time staff were trying valiantly but the number of people was simply too much for them to do more than the bare minimum of clearing glasses and dishes next time i think ill just have a glass of champagne and some nice oysters outside  even if i have to pay it will definitely be more comfortable and less stressful,24th October 2022,London Heathrow Airport,3
Jonathan Fisher,"overcrowded, inedible food",awful experience overcrowded inedible food disgusting toilets we left almost immediately and went to sit in the terminal ba should be ashamed of this facility,16th October 2022,London Heathrow Airport,2
J Meesen,british airways lounge is excellent,the british airways lounge is excellent i had a nice cream tea though i avoided the tea and had strawberry baileys instead the scone was excellent the clotted cream great and the strawberry jam nice after that i went through to the rest area where hightech seats are available but i have a 20 minute limit however since there were very few people waiting i just used another and another 20 minutes with no problem disadvantages of the ba lounge were that there were very few charging points available beside the seats in the rest area there was a charging point but elsewhere they were few and far between the drink selection was good apart from a rather unusual absence of cognac armagnac or brandy however the strawberry baileys and birthday cake baileys along with a wide selection of other choices made up for the missing brandy the food was excellent,25th June 2022,London Heathrow Airport,9
Chris Walsh,5b lounge is so much better than the t5a lounge,terminal 5b lounge is so much better than the t5a lounge nice and quiet it is worth the train and walk back to the main terminal the lounge at t5a is huge and quite impersonal,8th June 2022,London Heathrow Airport,10
Guy Senior,very badly laid out lounge,not british airways best very badly laid out lounge limited facilities and no views however staff very nice the terminal is being rebuilt so hopefully this will improve,21st April 2022,Chicago O'Hare Airport,6
Richard Hodges,food offering has further declined,used on wednesday 16 march before our flight to barbados busy but could still find a comfortable seat and a reasonable selection of drinks on offer coffee machines working this time most were not november 2021 and very good coffee it was unfortunately and as i suspected in november 2021 the food offering has further declined: the hot offering was just a bacon roll only this time without even hash browns a couple of nice pastries on offer it is clear that ba are now using covid as the excuse to downgrade their offerings and cost cut what used to be a very nice lounge with a decent buffet breakfast selection has now gone for good i fear,5th April 2022,London Heathrow Airport,5
Chris Walsh,"light, airy and decent food",well organised lounge light airy and decent food food was pretty good and coffee was excellent as youd expect in italy not so sure itd be the best for a long stop but great for short,5th April 2022,Venice Marco Polo Airport,7
Chris Walsh,rude staff and disgusting toilets,possibly the worst lounge with the most miserable staff many people havent flown for a long time and lounges methods have changed poor food rude staff and disgusting toilets,5th April 2022,London Heathrow Airport,1
Jeff Michel,very crowded and thus uncomfortable,nice views of the runway in one section but very crowded and thus uncomfortable good selection of drinks but their app system of ordering food no buffet means that when it gets delivered to your table means it is cold weird setup in there and certainly not conducive to a relaxed wait for your flight i am sure that ba can do better stressed passengers do not deal with the inevitable delayed flight as well as relaxed ones,4th April 2022,London Heathrow Airport,3
Guy Senior,fantastically helpful staff,the lounge has been refurbished since my last visit but difficult to see any major changes however very pleasant and fantastically helpful staff  full marks to them,9th February 2022,Geneva Airport,9
Richard Hodges,food offering has declined dramatically,used this lounge on 5th november before our flight to tenerife still a reasonably comfortable place to wait for your flight with a good selection of drinks however since covid19 the standard of the food offering has declined dramatically with just a bacon roll and hash browns as the main hot offering food also has to be ordered by a lounge app and you will be served at your table at least 2 of the coffee machines were not working and causing problems no longer a real premium offering  one can only hope that when covid eventually dies down the lounge can return to its former decent buffet but im not holding my breath  ba may just use this as an excuse to become the new normal lounge service,15th November 2021,London Heathrow Airport,6
R Marston,lack of that truly luxurious feel,this was the first time using this terminal 5 lounge after recently becoming a british airways executive club gold member i was travelling on an economy hand baggage only flight with a non status friend and he was allowed to enter as my guest there isnt a huge difference between the business and the first class lounge you still have the british airways nhs style showers and toilets furnishings that arent too modern and the lack of that truly luxurious feel but there is an upgrade in the drinks variety more premium brands of drinks this visit was during covid and so you had to order food and snacks by scanning a qr code entering your table number and placing your order ba lounges have never been truly luxurious if you have one world status you are better off visiting the likes of cathay pacific whose bathrooms are beautifully designed tiled and contain aesop products but if you want an english breakfast for instance ba is your best bet,22nd August 2021,London Heathrow Airport,7
G Warlan,lounge has no windows,i visited this lounge in march when travel reduced because of the virus this lounge is used by aer lingus and other oneworld elites which make this lounge crowded especially in the evening the snack options in the lounge are decent and something you can work with this lounge has no windows and very low ceilings which make it gloomy club dining is a nice option and highly recommended its less crowded than the rest of the lounge because of restricted access and a good choice of hot food in response to bas sleeper service,25th April 2020,Chicago O'Hare Airport,6
Mark Ellwood,lounge was very basic,this american airlines admirals club lounge was very basic with limited food and drink options plenty of different seating areas but it was a real let down and not worth using in my opinion i expected more but would advise just sitting in main terminal and paying for some food i am surprised this is an american airlines lounge but they must be easily pleased would not bother using or even go to the bother of finding the lounge if you just want a drink and a cracker then you will love it total waste of time,12th January 2020,Rio De Janeiro Airport,1
Mark Ellwood,food was very hit and miss,i used the terminal 5 north lounge as i find this lounge less busy plenty of seats today so no problems for me food was very hit and miss some strange bread rolls with bacon they were heavily seeded and strange not to my liking what is wrong with plain  plenty of hot cold and soft drinks as well as the usual alcohol  todays use of lounge was fine a bit busier as the morning went on toilets needed cleaning,3rd January 2020,London Heathrow Airport,7
Neil Jeram,quality felt lacking,the lounge is divided into business and first and has been renovated late evening the club world lounge was quiet plentiful seating decent selection of drinks i found the f & b is nowhere near the standards of aa with their flagship lounge or other one world ones i most often use maybe it was later in the evening but quality felt lacking the ambience was very flat terminal 7 at jfk is the ba terminal and whilst great for ba and its one world partners to have its own space its a very tired terminal washrooms are still the same cramped space and the showers clearly have not been renovated,17th December 2019,New York JFK Airport,4
Mike Andrésen,excellent service all over,the galleries first lounge at heathrow was beautiful and calm place to relax or work a bit between your flights excellent service all over nothing much more you can ask for even with a first class ticket price,7th December 2019,London Heathrow Airport,9
Mike Andrésen,superb service and good space,the concorde lounge is a place to relax and a place to eat superb service and good space you can sit inside the lounge or the area outside above the departure hall if you like some more buzz nice dining area and good food only downside is there are a little short of bathrooms,7th December 2019,London Heathrow Airport,10
David Ellis,a definite improvement,the club world and first galleries lounge at johannesburg has been the subject of much needed refurbishment and reflects a new harmonised policy for housing both classes under one roof without as overt a distinction as before to be honest the previous first lounge was something of an embarrassment with too few seats and general feeling of being cramped the new arrangement eschews a separate first lounge but allocates a separate first dining area this seems to work reasonably well the rest of the lounge is by no means spacious but there are adequate seats to accommodation the club and first passengers on the two evening flights to lhr the food seems to substantially better than before with regular refreshes of both hot and cold food the bar area is spacious as bar areas go and service was good overall the new galleries lounge is a definite improvement for club passengers; first passengers may not agree of course,7th December 2019,Johannesburg Airport,7
P Huang,"overall, a great visit",after a subpar visit to the qantas lounge next door my partner and i decided to give the british airways lounge a go it was a completely different experience a much better one in my opinion the space had such character with striking decors along with a great layout for dining work and relaxation the catering was fantastic with plenty of options for food and beverages with plenty of comfortable seating to enjoy it customer service was average lounge team were present and making sure food was plentiful plus consistently tidying but lack face to face service shower facilities were adequate but lacked in numbers overall a great visit as i would definitely pick this lounge over the qantas and third party offerings,20th October 2019,Singapore Changi Airport,8
Mark Ellwood,food options were very good,main galleries lounge in terminal 5 at heathrow was very busy food options were very good and plentiful the main lounge agates as usual were very busy not helped when some of the u shaped seating areas have massive square tables making it difficult for people to get seated very bad design we had a cgate departure so left the lounge and went to the quieter lounge in the bgate area which i would always recommend people to do,19th October 2019,London Heathrow Airport,6
R Gonzaga,most sections were shut,cathay pacific uses this lounge for their washington flights to hkg the lounge is nice but most sections were shut as it is 11pm at night there was no hot food apart from soup and there are  sandwiches on offer and lots of fresh fruit the usual tea and coffee and white and red wine plus a few beers  if you plan to dine before you fly so you can catch maximum sleep on the plane dont plan on doing it in this lounge which is miserable the toilets were not clean with paper towels everywhere the staff were pleasant enough cx needs to do something about their lounge access in iad,16th September 2019,Washington Dulles Airport,3
Sam Healey,nicely appointed with good food,the ba lounge at newark airport is very nicely appointed with good food the steak and ale pie on offer that evening was delicious and plenty of seating throughout the female toilets were also spotlessly clean and tidy i was very happy to see rosa there again this staff member and all the team work very hard to keep customers happy,19th August 2019,Newark Airport,9
C Marvere,there is plenty of food,i used the business lounge south on heathrow t5 and as usual it was rather busy plenty of newspapers  magazines and books available to read and decent internet there is plenty of food pastries and chocolates fruits and yoghurts also bread filled with bacon however no cheese or ham available  jams and marmalade out of big tins ample choice of teas and coffee also  despite it was rather early  lots of wines and alcoholic beverages even better brands like grey goose and sodas there is a lot to eat and to drink only a shame the food is not refined,18th July 2019,London Heathrow Airport,7
Mark Ellwood,not what you expect from a club lounge,really looking forward to the new airport opening the old lounge is very odd at least you no longer have to ring the bell to get in but you do have to knock on the door it is rather small and the offerings are miserable just a few sandwiches on a plate total 12 cut quarters at a time a selection of cheese crisps and some fruit a strange man always the same one who wanders around and refills you have a selection of drinks and a few tv screens not what you expect from a club lounge but it has always been the same toilets ok again limited roll on 2020,2nd July 2019,Bermuda Airport,4
Mark Ellwood,for once a very pleasant stay,plenty of space and lots of seats to choose at the gatwick club world lounge the food selections it was lunchtime 12:30 were very good not the usual finger treats and a few sandwiches but a good selection of chilli meatballs chicken stew with beans baked potatoes rice cooked very well and the sandwiches and nibbles i was absolutely full and thoroughly enjoyed my stay ion the lounge toilets and showers were all clean and tidy for once a very pleasant stay wifi worked well,2nd July 2019,London Gatwick Airport,10
M Neale,disappointed with this lounge,ba business class passengers share a lounge with priority pass customers and several other airlines the lounge itself was extremely busy but theres a cordoned off area at one end for ba passengers which is dark and cramped however when we arrived two hours before our flight there were no seats we had to wait until other passengers left the food was poor  a couple of types of wrap and some crispy egg sandwiches on rye plus soup and a tired tray of salad ingredients we discovered subsequently that the food in the main area was fresher  probably due to the high number of peoplethe only nibbles were wasabi peas stale pretzels and a variety of different sweets theres a bar in the main area but the wine wasnt properly chilled the free wifi was open but quick we were extremely disappointed with this lounge as atlanta is a major hub and we were hoping to get dinner there so we could sleep on our flight,3rd June 2019,Atlanta Hartsfield Airport,6
Gabriel Pepe,not comfortable at all,this is not a british airways lounge but a third party airport lounge that ba uses for their passengers the lounge is small full of people and not comfortable at all there was almost not food and just drinks however selection of drinks was really poor overwhelming noisy making impossible to relax before a flight staff was rude useless and they were clearly upset as we dont speak german and had to talk to us in english,4th January 2019,Vienna Airport,3
J Leane,no gluten free options,appalling lounge in terminal 3 food mediocre at best  and no gluten free options not enough easy chairs so had to sit on a stool dreary and depressing decor will try a different airline,2nd January 2019,London Heathrow Airport,3
Alex Johnson,best ba lounge i've experienced,this lounge opened at logan last year after a bit of a revamp of terminal e it caters for first business and silver gold passengers i accessed using the latter despite flying on the first evening service of the day the lounge wasnt busy and its very spacious theres a view of the apron from the far end with large windows and bar style seating next to them near the entrance is the usual self service bar and snacks similar to the ba galleries lounges in heathrow and gatwick down the far end however is a full service bar the staff there were fantastic and constantly brought me over another drink as soon as they saw my glass was empty pre flight dining is available from 5pm from a buffet which had a good selection and the food was nice theres also a concorde dining area for f passengers the real bonus with this lounge is that you board the aircraft directly from the lounge which is positioned above the boarding gate the staff were all fantastic so friendly and obliging this is quite possibly the best ba lounge ive experienced  id easily rate it above the flagship concorde room its that good,19th December 2018,Boston Logan Airport,10
David Ellis,little more than a corridor,the galleries first lounge is little more than a corridor next to the club world lounge there are adequate seats for the small number of ba flights leaving jnb at night food is selfservice and includes a fair selection of hot and cold options drinks are limited in choice and champagne is larssen rather than laurent perrier unfortunately because of the compact size of the space loud transatlantic smartphone conversations can easily disturb the peace,3rd December 2018,Johannesburg Airport,5
L Marsh,asked if i could use it for free,approached staff to ask if it would be possible to use the lounge for an hour prior to my connecting flight to scotland after travelling from the us i understood that i would be potentially charged but nevertheless asked if i could use it for free i was  turned away and not even offered any use of the facilities even if i had to pay i think that this is absolutely disgusting considering the respect and gratitude offered and given to me by american airlines including speedy boarding given to military,21st November 2018,London Heathrow Airport,1
D Keersen,not what you expect,menzies aurora lounge used by british airways one word: worthless could be a hotel foyer or something not what you expect with a business class fares,16th November 2018,Stockholm Arlanda Airport,1
Mike Andrésen,lounge needs a touch up badly,very attentive staff but the lounge needs a touch up badly furniture looks like its from the 80th selection of drinks food and coffee was quite average had breakfast before a flight and the scrambled eggs gets 5 stars champagne served was really mediocre and not first class standard but not having towels in the bathroom makes them like any bathroom in the terminal they have those awful hand blow dryers redo and do it right british airways,16th November 2018,London Gatwick Airport,6
N Sareni,bad artificial light,the lounge itself is not too bad except for the quality of the light: no natural light and really bad artificial light the really unacceptable thing is the music level really too high and also the music selection it was all about 80’ hits this is really far from relaxing or working time i had to spend 3 hours and i asked at least 4 times to the attendants to do something but without success,11th November 2018,New York JFK Airport,6
N Barden,there is barely enough space,as business class lounges go this one is pretty poor for a flight with 72+ business class seats there is barely enough space for this many people and certainly not comfortably its cramped and faces the evening sun so very warm the choice of food is very minimal the bar is served through a hatch with a queue every time for a drink and a limited selection there are less bathrooms in this lounge than on the aircraft so time your visit carefully,20th October 2018,Seattle Airport,2
L Xu,the staff here were nice,the lounge in changi airport are pretty spacious considering that there are consecutively two flights by 777 and a380 departing to london within 30 minutes however the lounge was not as crowded as i expected there were a wide selection of drinks and alcohol but the choice for food was a bit limited: only three kinds of main dish with pasta and mashed potato the staff here were nice with great hospitality,17th October 2018,Singapore Changi Airport,7
L Xu,a very refreshing experience,i went to the heathrow t5 arrival lounge for showering and breakfast after a 14 hours long flight from singapore the lounge located right after custom clearance and its very easy to find the reception staff were very hospitable but the lady staff in charge of assigning shower rooms was a bit inpatient the food was nice and there were a lot of choices for breakfast in general it was a very refreshing experience,16th October 2018,London Heathrow Airport,10
J Vasten,feels very cold and impersonal,lounge feels very cold and impersonal not very organised by the time you find anything it’s time to go i am sure the staff are wonderful however i feel they have to much work not enough workers to keep up food unfortunately is nothing special the bars are far apart again nothing to write home about also upon entering the lounge i was not told the wifi password so i will not rate that asked if my friend could possibly pay to get in and was told it is an invite i get it but what do you pay these extortionate prices for maybe get hold of the british airways lounge in singapore and get some ideas from them and also they are so much more friendly a nice smile goes along way i have been asked if i would recommend the airline  airline yes the lounge in london heathrow “no”,20th September 2018,,4
Richard Callis,absolutely rammed,absolutely rammed i used to be emerald with one world until two years ago when i changed alliances first class lounge at heathrow is probably my favourite in the world it was hard to make the decision to lose that i dont think i have been in the business class lounge at t5 for 5 years but it has deteriorated there were people lying across sofas as one would see in a bus station the place looked dishevelled it really looked like a pay to enter lounge i did not have time to sample the food on offer but ba normally has decent food and the drinks selection was good ba needs to think about either making more space available for frequent travellers or lifting the number of tier points to achieve sapphire status because this lounge is simply no longer a pleasant environment to spend any significant period of time,11th September 2018,London Heathrow Airport,4
Richard Hodges,very nice helpful staff,used bas club and first lounge got there early as 2 ba flights that day about 3 hours apart so was reasonably busy found 2 comfortable seats in a quiet corner without any problem good choice of beverages  beers wines and spirits  and had a glass of prosecco brought to us very nice helpful staff who cleared up tables and refreshed the rather limited food options frequently in common with most north american lounges the food options for business passengers was limited to 3 types of sandwiches vegetarian wraps potato crisps nuts and two types of cheese cut into squares no hotcooked choices notwithstanding the limited choice of food it was a comfortable and quiet enough place to while away a couple of hours before the flight,12th August 2018,San Francisco Airport,7
Richard Hodges,good choice of hot and cold breakfast,flew from lhr saturday 7th july and used the t5 galleries lounge north i think plenty of room not too crowded and easy to find comfy seats for my wife and i actually quite a good choice of hot and cold breakfast food so indulged and also plenty of drink options both alcoholic and the teacoffee variety lounge got busier as the morning wore on but still very pleasant,2nd August 2018,London Heathrow Airport,8
Mark Ellwood,small lounge with good seating,small lounge with a strange bell you have to ring in the terminal to get someone to let you in split into 2 sections one for first class and one for club class small lounge with good seating very limited offerings tea coffee soft drinks and alcohol some crisps a very small  selection of sandwiches and some cheese really depressing you would expect more especially at the prices we have paid one member of staff on the desk and one male floor walking but he really didnt want to be doing this or even working at all if you dont want your job i am sure someone else would love it toilets were clean and tidy just looking forward to the new terminal opening,27th July 2018,Bermuda Airport,3
David Iles,food on offer was poor,british airways use this lounge in the international terminal at atlanta airport which is a shame given in the old international terminal they had their own lounge which was head and shoulders above this offering upon arrival the lounge was already very full given the number of airlines using it and individuals who can access it via various flyer programmes there were many dirty plates glasses and cups on the tables and it appeared only one individual tasked with clearing them not a great start the carpet in many places was dirty and food scraps and litter was there for all to see the food on offer was poor in reality nothing more than snacks and the two packets of crisps my partner selected both had best before dates of july 2017 which i believe to be unacceptable one staff member did engage offering to get us some food which we politely declined the rest were somewhat indifferent given this is a customer facing service i was expecting better passengers travelling in the premium cabins of many of the airlines using this lounge will i am sure be deeply disappointed at the service offering when compared with their airlines “own lounges the airlines need to bring pressure for the service and quality to be improved as this is a disappointing way to end a trip,29th May 2018,Atlanta Hartsfield Airport,1
Neil Jeram,there is a nice small lounge,terminal 5 is one big box once through a painless security check it was off to find the ba lounge first off was the north lounge the lady said best to try the south one as that was extremely busy so walked the length of the terminal which itself is a very very busy place and to the north lounge this was far bigger and initially had space the afternoon wore on and it became very packed commuter traffic across europe is very busy and reflected in the lounge so with that jumped onto the transit and to t5b concourse where there is a nice small lounge very quiet same food choices and had a decent shower and feed before departing my advice use this lounge and not the ones in the main concourse,25th May 2018,London Heathrow Airport,8
S Meacher,my worst lounge experience ever,i was using this lounge as a customer of qatar airways and the lounge is advertised as being open until 20:30 i arrived at 19:50 and it was clear that the surly woman at the reception was in goinghome mood she tried her best to send me to the other lounge that i qualified for however eventually let me in the lounge was in a terrible mess the chars were out of position newspaper rack in disarray food selection was a mess then at 20:05 i tried to use the restroom however the floor had already been mopped and the cleaning service cart was placed across the entrance with the cleaner leaning on a lounge chair next to it playing on his mobile i asked him if the bathroom was closed after a glare from him he pushed back the cart for me a moment later when i exited i overheard him cursing in italian by far my worst lounge experience ever,4th April 2018,Rome Fiumicino Airport,1
Roy Foster,too small for amount of people,this terminal 1 ba lounge is better then sitting out in general airport seats however it is too small for the amount of people they squeeze in food is just ok personally i prefer a seat with a table that i can use to do some work comfortably for this reason i think there is too much high top and non table seats in this lounge,30th March 2018,Dubai Airport,6
P Keane,service is outstanding,the service is outstanding very polite and very helpful staff was very professional assisting with towels for the shower i left my phone and their honesty just made me smile,30th March 2018,London Gatwick Airport,10
H Wealden,favourite of all the domestic lounges,ive been using this lounge since 2013 it was originally the british midland bmi lounge but when british airways took over bmi in 2012 they did a complete refurbishment of the lounge and when the lounge was complete they moved into this lounge it was a big improvement over the previous lounge offering more space power sockets at every seat and different areas designed for work or relaxation if youre a regular business traveller youll appreciate this lounge if you need to work theres plenty of desk space and if youre finished work and just want to relax theres plenty of comfy seats and a selection of food hot and cold drinks including alcoholic options its my favourite of all the domestic lounges that ba operate the ideal combination for a business traveller is having access to the ba lounge and flying on ba cityflyer to london city airport,19th March 2018,Edinburgh Airport,10
M Bailey,there was no place to sit,flying ba in their club europe class gave me access to this lounge  just showed boarding pass and no problem getting in however there was no place to sit as it was overcrowded hot and piles of empty glasses and plates at various tables drink selection looked good enough but food looked very basic due to the overcrowded lounge i turned around and left this is the third time i have been to this small stuffy lounge and only once was it reasonably quiet enough to find a place to sit and relax it’s just not big enough for the traffic they have signed up for,10th March 2018,Warsaw Chopin Airport,5
Derek Northcutt,always the same food served,good selection of beverages comfortable lounge but always the same food served chicken with a white gravy pasta with a red sauce chiliconcarne that is okay if you only visit the lounge once in your lifetime but for us who fly across the atlantic every month it is very monotonous,17th January 2018,London Heathrow Airport,4
Andrzej Bania,limited choice of food,warm welcome plenty of basic seating limited choice of food they claim 340 seats  but there is 1 unisex shower and you need to ask for a towel these are locked away in a separate cupboard it’s a weak lounge compared to galleries at t5 it’s not as nice as berlin it’s aweful compared to cathay pacific in paris etc it is miles better than hannover on the plus side  at least it’s airside,17th January 2018,Dusseldorf Airport,4
Andrzej Bania,experience was really good,modern clean and well attended limited array of food and drink options but everything was fresh and on point they cater for children and vegetarians and the whole experience was really good no where in the lounge where you can lay flat and limited seating for a major international  gives it a crowded feeling’ multiple individual showers with a ‘cupboard of useful stuff’  including razors combs etc  perfect if you’re travelling light it comes behind the galleries way behind cathay pacific paris etc  but trounces any german lounge,17th January 2018,San Francisco Airport,6
M Dorlan,lounge is much too small,the lounge is much too small and the food selection is lacking in variety the staff is rather dismissive in theeir attitude drinks were available with a wide selection there is a second lounge across the hall where you have the option to dine before boarding  it is much larger as well as is accommodates business class passengers as well i did not sample the food so i cant say anything about the selection or quality of the food available,7th January 2018,Chicago O'Hare Airport,6
D Mardessen,i am out and will drop ba for good,okay lounge with edible food can be a bit too busy at times they allow one guest only which i just found out applies to your children as well as i have more than one child i could not use the lounge or had to leave my 8 year old outside so much for missing my family while travelling for work when ba does not allow me to share the achieved benefits with them ba frequent flyer programme was already pretty useless  now i am out and will drop ba for good,1st January 2018,London Heathrow Airport,3
A Wharton,smaller and much quieter lounge,after the hustle and bustle of the north and south lounges in heathrow terminal 5a the smaller and much quieter lounge in b satellite is much appreciated it offers a full range of drinks and a reasonable food selection you can sit a down a chill without people rushing in and dashing out for a short haul a gate departure the interior is slightly dated but it is clean and the staff are helpful finding it is quite easy too unlike some of the ba lounges in european airports,22nd December 2017,London Heathrow Airport,7
A Wharton,former communist atmosphere,once you are past sofia airport security and in the terminal you turn left and go down some stairs into lounge overlooking the flight line entry is either frequent flyer status or pay to enter the staff are helpful and the lounge is clean food selection is very limited to some pastries and snacks drinks selection are a bar self pour draft beer  wines and spirits along with bottled water plenty of sofas and chairs & tables to work from it has a former communist atmosphere to it with the choice of colours and decorations,22nd December 2017,Sofia Airport,4
K Nevins,overcrowded with people and luggage,lounge small barely enough seating towards boarding time it was overcrowded with people and luggage basic drinks offer food was sub standard two small trays of sandwiches were brought and were almost inedible and ran out within minutes exactly same when i was there two years ago i thought it was a problem that particular day but i now realise two years on it’s the norm and british airways think that this is acceptable it’s comes to something when the inflight food and service is 100% better than that on the ground,22nd November 2017,Tampa Airport,1
